gvkey,comp_name,mkvalt,profitability,sales_growth
1004, AAR CORP,1046.3954,0.052499529574107764,-0.21656019656019654
1045,American Airlines Group Inc.,37405.5843,0.15439624853458386,0.5966606768493561
1050,CECO ENVIRONMENTAL CORP,408.1892,0.1352496229346889,0.3339803463462343
1078,ABBOTT LABORATORIES,67891.7357,0.22102039808366672,-0.07327901867447817
1094,ACETO CORP,521.9241,0.10899703829440256,0.0209910144289458
1104,ACME UNITED CORP,65.7871,0.08761261681371361,0.19698136798508534
1117,RELM WIRELESS CORP,65.592,0.11988634529075587,0.14609776856751688
1121,ADAMS RESOURCES & ENERGY INC.,210.6891,0.0076383569015487235,0.04735389456936945
1161,ADVANCED MICRO DEVICES INC,2071.92,0.05049037413730476,0.03906397433478004
1209,AIR PRODUCTS & CHEMICALS INC DE,27798.507,0.2452916946067631,0.025401752386939647
1210, AIR T INC,58.3758,0.03035273352885069,0.11321597269082685
1228,ALANCO TECHNOLOGIES INC,2.3574,-1.1325115562403698,0.659846547314578
1254,Matson Inc.,1491.264,0.11754754404386886,0.047031517224529695
1266,ALICO INC,280.4541,0.20338294993234105,-0.12768908430961726
1327,SKYWORKS SOLUTIONS INC.,10983.06,0.3028147501636483,0.2787388392857142
1393, AMERCO NV,6478.4832,0.3258672623564375,0.08439426195625632
1440,AMERICAN ELECTRIC POWER CO INC,29716.4894,0.3064629847238543,0.10828937943608752
1447,AMERICAN EXPRESS CO,95179.92,0.28273809523809523,0.009962212298179285
1448,AMERICAN EXPRESS CREDIT CORP,,0.7825618945102261,-0.07745779543197617
1449,AFLAC INC,27028.9651,0.21361316437873987,-0.0505869083921634
1487,AMERICAN INTERNATIONAL GROUP INC,77065.6713,0.2436353247412863,-0.06487569573283858
1554, AMERICAN SCIENCE & ENGINEERING INC.,351.45,0.04520710059171598,-0.3337678516050019
1562, AMERICAN SOFTWARE INC,277.5604,0.1502629455736685,0.02258426854603845
1585,AMERICAN VANGUARD CORP,338.1304,0.07396344689486127,-0.21622692712475167
1613,AMPCO PITTSBURGH CORP,200.7005,0.061867344919335335,-0.029147838462906805
1618, AMREP CORP.,41.1662,-0.030508134163486644,-0.4299094312834194
1632,ANALOG DEVICES INC,15441.9921,0.3675683902354567,0.08774156705670277
1633,ANALOGIC CORP,889.7424,0.10729053150625642,-0.059624284335974775
1650,ANDREA ELECTRONICS CORP,4.9001,-0.9192680301399354,-0.1427253152876038
1678,APACHE CORP,23595.5684,0.3552258346061532,-0.16174856724789655
1681, APOLLO SOLAR ENERGY INC.,10.5813,-0.0951824134705332,-0.7460656808599085
1686, APOGEE ENTERPRISES INC.,1331.9425,0.09752809614363296,0.2106319958000895
1704,APPLIED MATERIALS INC DE,26971.89,0.22078924162257496,0.2081502197363163
1706,ACTUANT CORP,2235.7931,0.17912337073225787,0.09386266919425967
1712,TRECORA RESOURCES,352.4325,0.1075738063754346,0.2261214848429691
1722,ARCHER DANIELS MIDLAND CO,33124.0,0.04724079752712405,-0.09579751458732357
1773,ARROW ELECTRONICS INC,5551.3616,0.04550752494414037,0.0660846638512338
1783,ARTS WAY MANUFACTURING CO INC,21.4196,0.07110865358031518,0.05676804861658935
1823,ASTRONICS CORP,1214.4917,0.193879634938332,0.9445926745249852
1860,ATWOOD OCEANICS INC,2811.9758,0.468620975456428,0.1036888563388969
1891,AUTOMATIC DATA PROCESSING INC,38070.256,0.20963421128087487,0.0792565936640699
1913,Avery Dennison Corp,4693.0129,0.10934710835189486,0.03099348534201951
1919,AVNET INC,6125.8132,0.0371550492962566,0.08015774743661598
